date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:32:52	243/243	---M--	200	added ('OK')	image/png	etag:%220x8DC42BCD7294EFA%22	https://developweb1194.z33.web.core.windows.net/images/bx1.png	C:/My%20Web%20Sites/13033/developweb1194.z33.web.core.windows.net/images/bx1.png	(from https://developweb1194.z33.web.core.windows.net/)
00:32:53	187/187	---M--	200	added ('OK')	image/png	etag:%220x8DC42BCD680567A%22	https://developweb1194.z33.web.core.windows.net/images/mnc.png	C:/My%20Web%20Sites/13033/developweb1194.z33.web.core.windows.net/images/mnc.png	(from https://developweb1194.z33.web.core.windows.net/)
00:32:54	276/276	---M--	200	added ('OK')	image/png	etag:%220x8DC42BCD693B491%22	https://developweb1194.z33.web.core.windows.net/images/bel.png	C:/My%20Web%20Sites/13033/developweb1194.z33.web.core.windows.net/images/bel.png	(from https://developweb1194.z33.web.core.windows.net/)
00:32:55	364/364	---M--	200	added ('OK')	image/png	etag:%220x8DC42BCD65C31F8%22	https://developweb1194.z33.web.core.windows.net/images/set.png	C:/My%20Web%20Sites/13033/developweb1194.z33.web.core.windows.net/images/set.png	(from https://developweb1194.z33.web.core.windows.net/)
00:32:56	722/722	---M--	200	added ('OK')	image/png	etag:%220x8DC42BCD5B3879C%22	https://developweb1194.z33.web.core.windows.net/images/vsc.png	C:/My%20Web%20Sites/13033/developweb1194.z33.web.core.windows.net/images/vsc.png	(from https://developweb1194.z33.web.core.windows.net/)
00:32:57	1270/1270	---M--	200	added ('OK')	image/png	etag:%220x8DC42BCD5E1E3CA%22	https://developweb1194.z33.web.core.windows.net/images/pcm.png	C:/My%20Web%20Sites/13033/developweb1194.z33.web.core.windows.net/images/pcm.png	(from https://developweb1194.z33.web.core.windows.net/)
00:32:58	332/332	---M--	200	added ('OK')	image/png	etag:%220x8DC42BCD605E146%22	https://developweb1194.z33.web.core.windows.net/images/dm.png	C:/My%20Web%20Sites/13033/developweb1194.z33.web.core.windows.net/images/dm.png	(from https://developweb1194.z33.web.core.windows.net/)
00:32:59	2681/2681	---M--	200	added ('OK')	image/png	etag:%220x8DC42BCD7059F99%22	https://developweb1194.z33.web.core.windows.net/images/cs.png	C:/My%20Web%20Sites/13033/developweb1194.z33.web.core.windows.net/images/cs.png	(from https://developweb1194.z33.web.core.windows.net/)
00:33:00	14751/14751	---M--	200	added ('OK')	image/gif	etag:%220x8DC42BCD6B82730%22	https://developweb1194.z33.web.core.windows.net/images/re.gif	C:/My%20Web%20Sites/13033/developweb1194.z33.web.core.windows.net/images/re.gif	(from https://developweb1194.z33.web.core.windows.net/)
00:33:01	2055/2055	---M--	200	added ('OK')	text/javascript	etag:%220x8DC42BCD7DA5C94%22	https://developweb1194.z33.web.core.windows.net/js/nvidia.js	C:/My%20Web%20Sites/13033/developweb1194.z33.web.core.windows.net/js/nvidia.js	(from https://developweb1194.z33.web.core.windows.net/)
00:33:02	503/503	---M--	200	added ('OK')	text/javascript	etag:%220x8DC42BCD7D024E6%22	https://developweb1194.z33.web.core.windows.net/js/jupiter.js	C:/My%20Web%20Sites/13033/developweb1194.z33.web.core.windows.net/js/jupiter.js	(from https://developweb1194.z33.web.core.windows.net/)
00:33:03	243/243	---M--	200	added ('OK')	text/javascript	etag:%220x8DC42BCD862B26E%22	https://developweb1194.z33.web.core.windows.net/js/progress.js	C:/My%20Web%20Sites/13033/developweb1194.z33.web.core.windows.net/js/progress.js	(from https://developweb1194.z33.web.core.windows.net/)
00:33:04	340/340	---M--	200	added ('OK')	text/javascript	etag:%220x8DC42BCD855950B%22	https://developweb1194.z33.web.core.windows.net/js/main.js	C:/My%20Web%20Sites/13033/developweb1194.z33.web.core.windows.net/js/main.js	(from https://developweb1194.z33.web.core.windows.net/)
00:33:05	243/243	---M--	200	added ('OK')	text/javascript	etag:%220x8DC42BCD90BD1F6%22	https://developweb1194.z33.web.core.windows.net/js/fulls.js	C:/My%20Web%20Sites/13033/developweb1194.z33.web.core.windows.net/js/fulls.js	(from https://developweb1194.z33.web.core.windows.net/)
00:33:06	243/243	---M--	200	added ('OK')	text/javascript	etag:%220x8DC42BCD8FF9EC1%22	https://developweb1194.z33.web.core.windows.net/js/btn.js	C:/My%20Web%20Sites/13033/developweb1194.z33.web.core.windows.net/js/btn.js	(from https://developweb1194.z33.web.core.windows.net/)
00:33:07	99/99	---M--	200	added ('OK')	text/javascript	etag:%220x8DC42BCD7B3EE72%22	https://developweb1194.z33.web.core.windows.net/js/esc.js	C:/My%20Web%20Sites/13033/developweb1194.z33.web.core.windows.net/js/esc.js	(from https://developweb1194.z33.web.core.windows.net/)
00:33:08	509/509	---M--	200	added ('OK')	text/javascript	etag:%220x8DC42BCD87DB090%22	https://developweb1194.z33.web.core.windows.net/js/caps.js	C:/My%20Web%20Sites/13033/developweb1194.z33.web.core.windows.net/js/caps.js	(from https://developweb1194.z33.web.core.windows.net/)
00:33:08	63/63	---M--	200	added ('OK')	text/javascript	etag:%220x8DC42BCD8D7833F%22	https://developweb1194.z33.web.core.windows.net/js/escs.js	C:/My%20Web%20Sites/13033/developweb1194.z33.web.core.windows.net/js/escs.js	(from https://developweb1194.z33.web.core.windows.net/)
00:33:09	662/662	---M--	200	added ('OK')	text/javascript	etag:%220x8DC42BCD824A121%22	https://developweb1194.z33.web.core.windows.net/js/safes.js	C:/My%20Web%20Sites/13033/developweb1194.z33.web.core.windows.net/js/safes.js	(from https://developweb1194.z33.web.core.windows.net/)
00:33:10	321/321	---M--	404	error ('The%20requested%20content%20does%20not%20exist.')	text/html	date:Tue,%2012%20Mar%202024%2019:03:11%20GMT	https://developweb1194.z33.web.core.windows.net/w3.png	C:/My%20Web%20Sites/13033/developweb1194.z33.web.core.windows.net/w3.1b.delayed	(from https://developweb1194.z33.web.core.windows.net/)
00:33:12	321/321	---M--	404	error ('The%20requested%20content%20does%20not%20exist.')	text/html	date:Tue,%2012%20Mar%202024%2019:03:12%20GMT	https://developweb1194.z33.web.core.windows.net/w1.png	C:/My%20Web%20Sites/13033/developweb1194.z33.web.core.windows.net/w1.1c.delayed	(from https://developweb1194.z33.web.core.windows.net/)
00:33:13	28982/28982	---M--	200	added ('OK')	text/html	etag:%220x8DC42BCD37FE343%22	https://developweb1194.z33.web.core.windows.net/glyphicons-halflings-regular.html	C:/My%20Web%20Sites/13033/developweb1194.z33.web.core.windows.net/glyphicons-halflings-regular.html	(from https://developweb1194.z33.web.core.windows.net/css/tapa.css)
00:33:14	29012/29012	---M--	200	added ('OK')	text/html	etag:%220x8DC42BCD3B0B01A%22	https://developweb1194.z33.web.core.windows.net/glyphicons-halflings-regulard41dd41dd41d.html	C:/My%20Web%20Sites/13033/developweb1194.z33.web.core.windows.net/glyphicons-halflings-regulard41dd41dd41d.html	(from https://developweb1194.z33.web.core.windows.net/css/tapa.css)
00:33:15	28994/28994	---M--	200	added ('OK')	text/html	etag:%220x8DC42BCD2EA9703%22	https://developweb1194.z33.web.core.windows.net/glyphicons-halflings-regular-2.html	C:/My%20Web%20Sites/13033/developweb1194.z33.web.core.windows.net/glyphicons-halflings-regular-2.html	(from https://developweb1194.z33.web.core.windows.net/css/tapa.css)
00:33:16	28992/28992	---M--	200	added ('OK')	text/html	etag:%220x8DC42BCD2EC1D56%22	https://developweb1194.z33.web.core.windows.net/glyphicons-halflings-regular-3.html	C:/My%20Web%20Sites/13033/developweb1194.z33.web.core.windows.net/glyphicons-halflings-regular-3.html	(from https://developweb1194.z33.web.core.windows.net/css/tapa.css)
00:33:16	28990/28990	---M--	200	added ('OK')	text/html	etag:%220x8DC42BCD2EF0318%22	https://developweb1194.z33.web.core.windows.net/glyphicons-halflings-regular-4.html	C:/My%20Web%20Sites/13033/developweb1194.z33.web.core.windows.net/glyphicons-halflings-regular-4.html	(from https://developweb1194.z33.web.core.windows.net/css/tapa.css)
00:33:17	28990/28990	---M--	200	added ('OK')	text/html	etag:%220x8DC42BCD31A798F%22	https://developweb1194.z33.web.core.windows.net/glyphicons-halflings-regular-5.html	C:/My%20Web%20Sites/13033/developweb1194.z33.web.core.windows.net/glyphicons-halflings-regular-5.html	(from https://developweb1194.z33.web.core.windows.net/css/tapa.css)
00:33:18	28838/28838	---M--	200	added ('OK')	text/html	etag:%220x8DC42BCD4605E52%22	https://developweb1194.z33.web.core.windows.net/msmm.html	C:/My%20Web%20Sites/13033/developweb1194.z33.web.core.windows.net/msmm.html	(from https://developweb1194.z33.web.core.windows.net/glyphicons-halflings-regular.html)
00:33:19	28838/28838	---M--	200	added ('OK')	text/html	etag:%220x8DC42BCD51DC62A%22	https://developweb1194.z33.web.core.windows.net/tapa.html	C:/My%20Web%20Sites/13033/developweb1194.z33.web.core.windows.net/tapa.html	(from https://developweb1194.z33.web.core.windows.net/glyphicons-halflings-regular.html)
00:33:21	286/286	---M--	200	added ('OK')	text/html	etag:%220x8DC42BCD39EB15F%22	https://developweb1194.z33.web.core.windows.net/jquery-1.4.4.min.html	C:/My%20Web%20Sites/13033/developweb1194.z33.web.core.windows.net/jquery-1.4.4.min.html	(from https://developweb1194.z33.web.core.windows.net/glyphicons-halflings-regular.html)
00:33:22	28836/28836	---M--	200	added ('OK')	text/html	etag:%220x8DC42BCD461E4B3%22	https://developweb1194.z33.web.core.windows.net/noir.html	C:/My%20Web%20Sites/13033/developweb1194.z33.web.core.windows.net/noir.html	(from https://developweb1194.z33.web.core.windows.net/glyphicons-halflings-regular.html)
00:33:25	321/321	---M--	404	error ('The%20requested%20content%20does%20not%20exist.')	text/html	date:Tue,%2012%20Mar%202024%2019:03:25%20GMT	https://developweb1194.z33.web.core.windows.net/GET.html	C:/My%20Web%20Sites/13033/developweb1194.z33.web.core.windows.net/GET.27.delayed	(from https://developweb1194.z33.web.core.windows.net/glyphicons-halflings-regular.html)
00:33:26	28874/28874	---M--	200	added ('OK')	text/html	etag:%220x8DC42BCD2289BDD%22	https://developweb1194.z33.web.core.windows.net/_Fm7-alert.html	C:/My%20Web%20Sites/13033/developweb1194.z33.web.core.windows.net/_Fm7-alert.html	(from https://developweb1194.z33.web.core.windows.net/glyphicons-halflings-regular.html)
00:33:27	28832/28832	---M--	200	added ('OK')	text/html	etag:%220x8DC42BCD2C9CD45%22	https://developweb1194.z33.web.core.windows.net/f24.html	C:/My%20Web%20Sites/13033/developweb1194.z33.web.core.windows.net/f24.html	(from https://developweb1194.z33.web.core.windows.net/glyphicons-halflings-regular.html)
00:33:28	28832/28832	---M--	200	added ('OK')	text/html	etag:%220x8DC42BCD43535FD%22	https://developweb1194.z33.web.core.windows.net/mnc.html	C:/My%20Web%20Sites/13033/developweb1194.z33.web.core.windows.net/mnc.html	(from https://developweb1194.z33.web.core.windows.net/glyphicons-halflings-regular.html)
00:33:29	28832/28832	---M--	200	added ('OK')	text/html	etag:%220x8DC42BCD5295D3F%22	https://developweb1194.z33.web.core.windows.net/set.html	C:/My%20Web%20Sites/13033/developweb1194.z33.web.core.windows.net/set.html	(from https://developweb1194.z33.web.core.windows.net/glyphicons-halflings-regular.html)
00:33:30	28832/28832	---M--	200	added ('OK')	text/html	etag:%220x8DC42BCD528C113%22	https://developweb1194.z33.web.core.windows.net/vsc.html	C:/My%20Web%20Sites/13033/developweb1194.z33.web.core.windows.net/vsc.html	(from https://developweb1194.z33.web.core.windows.net/glyphicons-halflings-regular.html)
00:33:31	28832/28832	---M--	200	added ('OK')	text/html	etag:%220x8DC42BCD2289BDD%22	https://developweb1194.z33.web.core.windows.net/bx1.html	C:/My%20Web%20Sites/13033/developweb1194.z33.web.core.windows.net/bx1.html	(from https://developweb1194.z33.web.core.windows.net/glyphicons-halflings-regular.html)
00:33:32	28832/28832	---M--	200	added ('OK')	text/html	etag:%220x8DC42BCD2111FB4%22	https://developweb1194.z33.web.core.windows.net/bel.html	C:/My%20Web%20Sites/13033/developweb1194.z33.web.core.windows.net/bel.html	(from https://developweb1194.z33.web.core.windows.net/glyphicons-halflings-regular.html)
00:33:33	28832/28832	---M--	200	added ('OK')	text/html	etag:%220x8DC42BCD49374BD%22	https://developweb1194.z33.web.core.windows.net/pcm.html	C:/My%20Web%20Sites/13033/developweb1194.z33.web.core.windows.net/pcm.html	(from https://developweb1194.z33.web.core.windows.net/glyphicons-halflings-regular.html)
00:33:34	28826/28826	---M--	200	added ('OK')	text/html	etag:%220x8DC42BCD25AEF1D%22	https://developweb1194.z33.web.core.windows.net/dm.html	C:/My%20Web%20Sites/13033/developweb1194.z33.web.core.windows.net/dm.html	(from https://developweb1194.z33.web.core.windows.net/glyphicons-halflings-regular.html)
00:33:35	28826/28826	---M--	200	added ('OK')	text/html	etag:%220x8DC42BCD22D2F13%22	https://developweb1194.z33.web.core.windows.net/cs.html	C:/My%20Web%20Sites/13033/developweb1194.z33.web.core.windows.net/cs.html	(from https://developweb1194.z33.web.core.windows.net/glyphicons-halflings-regular.html)
00:33:36	28826/28826	---M--	200	added ('OK')	text/html	etag:%220x8DC42BCD4F7A620%22	https://developweb1194.z33.web.core.windows.net/re.html	C:/My%20Web%20Sites/13033/developweb1194.z33.web.core.windows.net/re.html	(from https://developweb1194.z33.web.core.windows.net/glyphicons-halflings-regular.html)
00:33:36	28848/28848	---M--	200	added ('OK')	text/html	etag:%220x8DC42BCD464CA76%22	https://developweb1194.z33.web.core.windows.net/nvidia.html	C:/My%20Web%20Sites/13033/developweb1194.z33.web.core.windows.net/nvidia.html	(from https://developweb1194.z33.web.core.windows.net/glyphicons-halflings-regular.html)
00:33:37	28854/28854	---M--	200	added ('OK')	text/html	etag:%220x8DC42BCD3D30018%22	https://developweb1194.z33.web.core.windows.net/jupiter.html	C:/My%20Web%20Sites/13033/developweb1194.z33.web.core.windows.net/jupiter.html	(from https://developweb1194.z33.web.core.windows.net/glyphicons-halflings-regular.html)
00:33:38	321/321	---M--	404	error ('The%20requested%20content%20does%20not%20exist.')	text/html	date:Tue,%2012%20Mar%202024%2019:03:38%20GMT	https://developweb1194.z33.web.core.windows.net/w3.html	C:/My%20Web%20Sites/13033/developweb1194.z33.web.core.windows.net/w3.35.delayed	(from https://developweb1194.z33.web.core.windows.net/glyphicons-halflings-regular.html)
00:33:39	321/321	---M--	404	error ('The%20requested%20content%20does%20not%20exist.')	text/html	date:Tue,%2012%20Mar%202024%2019:03:40%20GMT	https://developweb1194.z33.web.core.windows.net/w1.html	C:/My%20Web%20Sites/13033/developweb1194.z33.web.core.windows.net/w1.36.delayed	(from https://developweb1194.z33.web.core.windows.net/glyphicons-halflings-regular.html)
